arch,optimizer,n_paths,connected_initial_count,adaptive_growth_count,k_used_min,k_used_median,k_used_max,graph_density_median,graph_density_max,edge_max_over_median_median,edge_max_over_median_max,edge_max_over_allpair_p95_max,near_complete_graph_count
mlp2_mnist,adam,3,2,1,12,12.0,48,0.06663316582914573,0.2830653266331658,50.7426148540291,51.7941228558574,1.064499195910838,0
mlp2_mnist,adamw,3,0,3,24,48.0,48,0.27768844221105526,0.287035175879397,25.395519064479725,38.073140643718965,1.2454159974687466,0
mlp2_mnist,sgd,3,3,0,12,12.0,12,0.06673366834170855,0.06693467336683417,46.11389551780648,46.27968513576016,0.5227959844290891,0
mlp2_mnist,sgd_momentum,3,3,0,12,12.0,12,0.0714070351758794,0.07155778894472362,67.97314744160637,69.76946258311636,0.6063313057168644,0
resnet18_cifar10,adam,3,3,0,12,12.0,12,0.07010050251256282,0.07025125628140703,4.6960641008771535,4.698226353216005,0.37215658097068255,0
resnet18_cifar10,adamw,3,3,0,12,12.0,12,0.0700502512562814,0.07015075376884422,4.792672937447276,4.803443762976922,0.39574641403786354,0
resnet18_cifar10,sgd,3,3,0,12,12.0,12,0.06824120603015076,0.06824120603015076,12.702626356599943,12.761143991384094,0.34662186097015607,0
resnet18_cifar10,sgd_momentum,3,3,0,12,12.0,12,0.07457286432160803,0.07462311557788945,17.34156158462821,17.51987024968157,0.5218957757147953,0
smallcnn_cifar10,adam,3,3,0,12,12.0,12,0.06974874371859296,0.06994974874371859,8.026800678841969,8.092668433636733,0.42272981710210544,0
smallcnn_cifar10,adamw,3,3,0,12,12.0,12,0.06984924623115578,0.07020100502512563,8.042373864193165,8.179525460489737,0.4317528103698761,0
smallcnn_cifar10,sgd,3,3,0,12,12.0,12,0.06678391959798995,0.06723618090452262,14.77350380843964,15.496949089931805,0.2986760959676886,0
smallcnn_cifar10,sgd_momentum,3,3,0,12,12.0,12,0.06949748743718592,0.06969849246231155,10.226158673046559,10.250782754301301,0.3783138805565801,0
