k_value,,,8,8,8,10,10,10,12,12,12,16,16,16,decision_stable_across_grid
filtration_pct,,,90.0,95.0,99.0,90.0,95.0,99.0,90.0,95.0,99.0,90.0,95.0,99.0,
arch,optimizer,seed,,,,,,,,,,,,,
mlp2_mnist,adam,242,False,False,False,False,False,False,False,False,False,False,False,False,1
mlp2_mnist,adam,1242,False,False,False,False,False,False,False,False,False,False,False,False,1
mlp2_mnist,adam,2242,False,False,False,False,False,False,False,False,False,False,False,False,1
mlp2_mnist,adamw,342,False,False,False,False,False,False,False,False,False,False,False,False,1
mlp2_mnist,adamw,1342,False,False,False,False,False,False,False,False,False,False,False,False,1
mlp2_mnist,adamw,2342,False,False,False,False,False,False,True,True,True,False,False,False,0
mlp2_mnist,sgd,42,False,False,False,False,False,False,False,False,False,False,False,False,1
mlp2_mnist,sgd,1042,False,False,False,False,False,False,False,False,False,False,False,False,1
mlp2_mnist,sgd,2042,False,False,False,False,False,False,False,False,False,False,False,False,1
mlp2_mnist,sgd_momentum,142,False,False,False,False,False,False,False,False,False,False,False,False,1
mlp2_mnist,sgd_momentum,1142,False,False,False,False,False,False,False,False,False,False,False,False,1
mlp2_mnist,sgd_momentum,2142,False,False,False,False,False,False,False,False,False,False,False,False,1
resnet18_cifar10,adam,20242,False,False,False,False,False,False,False,False,False,False,False,False,1
resnet18_cifar10,adam,21242,False,False,False,False,False,False,False,False,False,False,False,False,1
resnet18_cifar10,adam,22242,False,False,False,False,False,False,False,False,False,False,False,False,1
resnet18_cifar10,adamw,20342,False,False,False,False,False,False,False,False,False,False,False,False,1
resnet18_cifar10,adamw,21342,False,False,False,False,False,False,False,False,False,False,False,False,1
resnet18_cifar10,adamw,22342,False,False,False,False,False,False,False,False,False,False,False,False,1
resnet18_cifar10,sgd,20042,False,False,False,False,False,False,False,False,False,False,False,False,1
resnet18_cifar10,sgd,21042,False,False,False,False,False,False,False,False,False,False,False,False,1
resnet18_cifar10,sgd,22042,False,False,False,False,False,False,False,False,False,False,False,False,1
resnet18_cifar10,sgd_momentum,20142,False,False,False,False,False,False,False,False,False,False,False,False,1
resnet18_cifar10,sgd_momentum,21142,False,False,False,False,False,False,False,False,False,False,False,False,1
resnet18_cifar10,sgd_momentum,22142,False,False,False,False,False,False,False,False,False,False,False,False,1
smallcnn_cifar10,adam,10242,False,False,False,False,False,False,False,False,False,False,False,False,1
smallcnn_cifar10,adam,11242,False,False,False,False,False,False,False,False,False,False,False,False,1
smallcnn_cifar10,adam,12242,False,False,False,False,False,False,False,False,False,False,False,False,1
smallcnn_cifar10,adamw,10342,False,False,False,False,False,False,False,False,False,False,False,False,1
smallcnn_cifar10,adamw,11342,False,False,False,False,False,False,False,False,False,False,False,False,1
smallcnn_cifar10,adamw,12342,False,False,False,False,False,False,False,False,False,False,False,False,1
smallcnn_cifar10,sgd,10042,False,False,False,False,False,False,False,False,False,False,False,False,1
smallcnn_cifar10,sgd,11042,False,False,False,False,False,False,False,False,False,False,False,False,1
smallcnn_cifar10,sgd,12042,False,False,False,False,False,False,False,False,False,False,False,False,1
smallcnn_cifar10,sgd_momentum,10142,False,False,False,False,False,False,False,False,False,False,False,False,1
smallcnn_cifar10,sgd_momentum,11142,False,False,False,False,False,False,False,False,False,False,False,False,1
smallcnn_cifar10,sgd_momentum,12142,False,False,False,False,False,False,False,False,False,False,False,False,1
