dataset,k,fire_rate,mean_Lobs,mean_TSR,mean_zrob,min_pperm,max_pperm
circle_r2_noise01,6,0.75,0.9442175077274442,1.4067064282987247,1.0631936688498813,0.004975124378109453,1.0
circle_r2_noise01,8,1.0,1.2453185198828578,1.8535628399128803,2.059859681498186,0.009950248756218905,0.024875621890547265
circle_r2_noise01,10,1.0,1.2474667616188526,1.9974092008393718,2.429981565480608,0.009950248756218905,0.024875621890547265
circle_r2_noise01,12,1.0,1.2439497401937842,2.1093505957119127,2.513270610016921,0.004975124378109453,0.014925373134328358
circle_r2_noise01,14,1.0,1.245565134100616,2.24738932562653,2.758560794185619,0.009950248756218905,0.024875621890547265
circle_r2_noise01,16,1.0,1.2463167272508144,2.2726292865314432,2.8344661431690956,0.004975124378109453,0.014925373134328358
circle_r2_noise01,20,1.0,1.2408081712201238,2.4033190751638385,2.8832133981657626,0.004975124378109453,0.014925373134328358
circle_r3_noise01,6,1.0,1.26824873033911,1.9367376611753162,2.3088249534986502,0.004975124378109453,0.01990049751243781
circle_r3_noise01,8,0.75,0.9565610578283668,1.4191876367399696,0.9788776049600657,0.009950248756218905,1.0
circle_r3_noise01,10,1.0,1.2713347719982266,2.007021781982901,2.494428604496185,0.009950248756218905,0.014925373134328358
circle_r3_noise01,12,1.0,1.2676555272191763,2.1600648266807325,2.6569451490514937,0.004975124378109453,0.014925373134328358
circle_r3_noise01,14,1.0,1.2684481805190444,2.2870188850753945,2.77657838873047,0.004975124378109453,0.01990049751243781
circle_r3_noise01,16,1.0,1.268686036579311,2.2971797725477634,2.794980545115437,0.004975124378109453,0.014925373134328358
circle_r3_noise01,20,1.0,1.2663287706673145,2.4743117095878406,3.0281975594255313,0.004975124378109453,0.014925373134328358
