dataset,type,param,k,fire_rate,n_positive,n_total,mean_Lobs,mean_TSR,mean_zrob,min_pperm,max_pperm
circle_r2.0,circle,2.0,6,0.75,3,4,0.9637109395116568,1.4728037835132939,1.2467230727144158,0.014925373134328358,1.0
circle_r2.0,circle,2.0,8,1.0,4,4,1.2753784274682403,1.889105130915214,2.1255036543194814,0.009950248756218905,0.01990049751243781
circle_r2.0,circle,2.0,10,1.0,4,4,1.2817700048908591,2.0350489113982686,2.4677445947405836,0.009950248756218905,0.014925373134328358
circle_r2.0,circle,2.0,12,1.0,4,4,1.2788161290809512,2.1767190608428377,2.7312603618280393,0.004975124378109453,0.009950248756218905
circle_r2.0,circle,2.0,14,1.0,4,4,1.2812633328139782,2.307313245834391,2.861484238568298,0.004975124378109453,0.01990049751243781
circle_r2.0,circle,2.0,16,1.0,4,4,1.281553459353745,2.305278904496671,2.8467041383111202,0.004975124378109453,0.014925373134328358
circle_r2.0,circle,2.0,20,1.0,4,4,1.2802113182842731,2.5199121383838543,3.1458744394905622,0.004975124378109453,0.014925373134328358
circle_r3.0,circle,3.0,6,0.5,2,4,0.6525922608561814,1.0198780085943424,0.06997910719983513,0.014925373134328358,1.0
circle_r3.0,circle,3.0,8,1.0,4,4,1.2924846280366182,1.9184231057871122,2.2055567682389237,0.014925373134328358,0.014925373134328358
circle_r3.0,circle,3.0,10,1.0,4,4,1.2907655322924256,2.0207590700153983,2.3949883867473747,0.009950248756218905,0.01990049751243781
circle_r3.0,circle,3.0,12,1.0,4,4,1.291105174459517,2.1887693546972677,2.820648302486904,0.004975124378109453,0.009950248756218905
circle_r3.0,circle,3.0,14,1.0,4,4,1.2909079231321812,2.356812792212279,3.0873959561455475,0.004975124378109453,0.01990049751243781
circle_r3.0,circle,3.0,16,1.0,4,4,1.2912598252296448,2.3220345008763035,2.920078958106509,0.004975124378109453,0.009950248756218905
circle_r3.0,circle,3.0,20,1.0,4,4,1.2925251508131623,2.5692285620734947,3.2790905407103046,0.004975124378109453,0.014925373134328358
helix_p12,helix,12.0,6,0.0,0,4,0.0015502928290516138,0.02271954987616207,-2.23014325927615,1.0,1.0
helix_p12,helix,12.0,8,0.0,0,4,0.0017763176001608372,0.026210185940412654,-2.2709041480970322,1.0,1.0
helix_p12,helix,12.0,10,0.0,0,4,0.0012961532920598984,0.020636767722308543,-2.215295340520447,1.0,1.0
helix_p12,helix,12.0,12,0.0,0,4,0.0016899544280022383,0.027114744846335255,-2.326628624334578,1.0,1.0
helix_p12,helix,12.0,14,0.0,0,4,0.0015498748980462551,0.0245944188360659,-2.1256907240914953,1.0,1.0
helix_p12,helix,12.0,16,0.0,0,4,0.0019901685882359743,0.03274761343154084,-1.9967420869095358,1.0,1.0
helix_p12,helix,12.0,20,0.0,0,4,0.0016067370306700468,0.028944994766264172,-2.033944419149153,1.0,1.0
helix_p15,helix,15.0,6,0.0,0,4,0.0016011393163353205,0.03244924405022474,-2.200420059014691,1.0,1.0
helix_p15,helix,15.0,8,0.0,0,4,0.0018494001124054193,0.03816348124126328,-2.495112468301,1.0,1.0
helix_p15,helix,15.0,10,0.0,0,4,0.0011814238969236612,0.024959264692874773,-2.4759394857143198,1.0,1.0
helix_p15,helix,15.0,12,0.0,0,4,0.001528545981273055,0.03272191195674983,-2.1356430895776293,1.0,1.0
helix_p15,helix,15.0,14,0.0,0,4,0.0017465052660554647,0.03923234223502295,-2.0443127346932233,1.0,1.0
helix_p15,helix,15.0,16,0.0,0,4,0.002080923644825816,0.0501259158093245,-1.9261099492714697,1.0,1.0
helix_p15,helix,15.0,20,0.0,0,4,0.0016819015145301819,0.046432791749642335,-2.016312530098402,1.0,1.0
helix_p18,helix,18.0,6,0.0,0,4,0.0015275785699486732,0.039901940802370355,-2.335545482293212,1.0,1.0
helix_p18,helix,18.0,8,0.0,0,4,0.001822213176637888,0.04896775862240271,-2.549460999286057,1.0,1.0
helix_p18,helix,18.0,10,0.0,0,4,0.001180325634777546,0.03265106456923114,-2.3786066292152404,1.0,1.0
helix_p18,helix,18.0,12,0.0,0,4,0.0014022109098732471,0.04036886763221606,-2.262280381463055,1.0,1.0
helix_p18,helix,18.0,14,0.0,0,4,0.0017371997237205505,0.05374145833093724,-1.9411823450749612,1.0,1.0
helix_p18,helix,18.0,16,0.0,0,4,0.0020999477710574865,0.07234386473450244,-1.9261526514222262,1.0,1.0
helix_p18,helix,18.0,20,0.0,0,4,0.0014837207272648811,0.05599005733741012,-2.08255848944222,1.0,1.0
helix_p22,helix,22.0,6,0.0,0,4,0.0012576791923493147,0.045349563397672245,-2.425331749109333,1.0,1.0
helix_p22,helix,22.0,8,0.0,0,4,0.0016417650040239096,0.05940390453022018,-2.711651522459784,1.0,1.0
helix_p22,helix,22.0,10,0.0,0,4,0.001017922768369317,0.03924473535065119,-2.365282322360792,1.0,1.0
helix_p22,helix,22.0,12,0.0,0,4,0.001182278385385871,0.04695119611036884,-2.006752234368024,1.0,1.0
helix_p22,helix,22.0,14,0.0,0,4,0.0017188398633152246,0.08392810973198819,-1.922036317028001,1.0,1.0
helix_p22,helix,22.0,16,0.0,0,4,0.0018435847014188766,0.09682564774265416,-2.120454749620872,1.0,1.0
helix_p22,helix,22.0,20,0.0,0,4,0.0012330419849604368,0.06762929001874778,-2.281515902615034,1.0,1.0
